연번,시도,시군구,주소,"운영시간
(A: 외래진료,
B: 외래진료 및 입원)"
20,서울,동작구,사당문화회관 (사당로8길 9),(평일)10:00~17:00 (토)10:00~14:00
21,서울,관악구,신림체육센터 (난곡로58길 13),(평일)10:00~17:00 (토&공휴일)10:00~15:00 * 소독시간 12-13시
22,서울,서초구,고속터미널역 1번출구 (반포동 19-13),(평일)09:00~17:00 (토&일&공휴일)09:00~13:00 * 평일 소독시간 12-13시
23,서울,강남구,삼성역6번출구(코엑스),(평일)09:00~17:00 *접수마감 16:30 (토&일&공휴일)09:00~14:00 *접수마감 13:30 * 평일 주말 소독시간 12-13시
24,서울,강남구,세곡동방죽공원 (율현동 254-3),(평일)09:00~17:00 *접수마감 16:30 (토&일&공휴일)09:00~14:00 *접수마감 13:30 * 평일 주말 소독시간 12-13시
25,서울,송파구,올림픽공원 평화의문 광장,(평일)10:00~17:00 (토)10:00~15:00 * 평일 소독시간 12-13시
26,서울,강동구,암사역사공원 주차장 (암사동 193),(평일)09:00~17:00 (토&일)09:00~13:00 * 평일 소독시간 12-13시
27,인천,미추홀구,주안역 (미추홀구 주안로 95-19),(평일)09:00~17:00 (주말)9:00~13:00
28,인천,남동구,중앙공원 (예술로 149 문화예술회관 계단 아래쪽),(평일)09:00~17:00 (주말)9:00~13:00
29,인천,부평구,부평역 (부평구 광장로 16),(평일)09:00~17:00 (주말)9:00~13:00
30,인천,서구,검암역 (서구 검바위로 26),(평일)09:00~17:00 (주말)9:00~13:00
31,인천,연수구,송도 미추홀타워 앞 (연수구 갯벌로 12),(평일)09:00~17:00 (주말)9:00~13:00
32,경기,수원시 장안구,장안구 통합청사 지상주차장 (수원시 장안구 송원로 101),(평일) 09:00~17:00 (주말) 09:00~13:00 * 점심시간 12:00~14:00
